id,start_x,start_y,start_theta,start_k,goal_x,goal_y,goal_theta,goal_k,baseline_success,baseline_time,baseline_params,baseline_steps,proposed_success,proposed_time,proposed_params,proposed_steps
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,True,0.08122920989990234,"-2.9712553455831747,11.876001971598361,-9.889077166504514,1.0007806926877365",45,True,0.025265216827392578,"-0.03462710255471043,0.3464388092678574,0.0006401181704897875",26
1,0.0,0.0,0.0,0.0,1.0,0.0,0.5235987755982987,-1.0,True,0.07013535499572754,"-14.202692406495258,49.18494652536953,-35.01465699293878,1.0413224997368917",46,True,0.0390470027923584,"-0.46618486777739016,2.1190850636930185,0.03995322545510262",41
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0471975511965974,-1.0,True,0.1123497486114502,"-20.44892122699565,63.61086606634846,-40.44063838068989,1.152843036157148",48,True,0.06312251091003418,"-0.7596544736335284,3.4970270416417564,0.14196824799553326",47
3,0.0,0.0,0.0,0.0,1.0,0.0,1.5707963267948966,-1.0,True,0.14933228492736816,"-20.416002472202546,54.50344171128189,-29.537226410596695,1.3526216610261124",53,True,0.09483623504638672,"-0.8331234963339351,4.249229966663338,0.3011611945429852",50
4,0.0,0.0,0.0,0.0,1.0,0.0,2.094395102393195,-1.0,True,0.18153715133666992,"-16.260647418000243,36.031057781395575,-16.037746164324894,1.657408635450353",61,True,0.1020042896270752,"-0.6931292068306854,4.389795417022827,0.5029137584489677",52
5,0.0,0.0,0.0,0.0,1.0,0.0,2.617993877991494,-1.0,True,0.19958186149597168,"-11.282100744838024,20.707404211522164,-7.50392583208699,2.0612320199882816",68,True,0.11132240295410156,"-0.4144017981242258,4.132794839462248,0.7205042456044771",54
6,0.0,0.0,0.0,0.0,1.0,0.0,-3.141592653589793,-1.0,True,0.20138072967529297,"9.533372948769136,-17.07130435802802,5.868341790819982,2.094094348340614",65,True,0.11384320259094238,"0.33548041197321943,-3.9979385756064056,0.7375508308708173",55
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5,True,0.07233572006225586,"-1.4750533365651848,5.899114205875511,-4.915002964325041,1.0001916892545861",39,True,0.018801212310791016,"-0.016014863372755202,0.16017038020017002,0.00012174851265880926",19
8,0.0,0.0,0.0,0.0,1.0,0.0,0.5235987755982987,-0.5,True,0.08276033401489258,"-12.858644895175502,44.217296139554165,-31.153556214884155,1.0355498937072947",41,True,0.03839993476867676,"-0.4509146819626797,1.9438803082997622,0.034787593927210446",40
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0471975511965974,-0.5,True,0.09818458557128906,"-19.625829001657582,61.22291763476511,-38.941771932066544,1.1398602177014139",46,True,0.0593562126159668,"-0.7548699187771406,3.351377845581435,0.1308756758120902",46
10,0.0,0.0,0.0,0.0,1.0,0.0,1.5707963267948966,-0.5,True,0.11851167678833008,"-20.20677038229355,54.603442303899755,-29.89696709668773,1.3261269558627948",50,True,0.07135391235351562,"-0.8453701851095425,4.154300732541505,0.28223901901981535",50
11,0.0,0.0,0.0,0.0,1.0,0.0,2.094395102393195,-0.5,True,0.1690967082977295,"-16.558696443424367,37.50411743476882,-17.03828839209157,1.6079217897278077",59,True,0.10046577453613281,"-0.726710614623894,4.35886245167886,0.47310533472810307",52
12,0.0,0.0,0.0,0.0,1.0,0.0,2.617993877991494,-0.5,True,0.16312670707702637,"-11.864988483389574,22.48685732650785,-8.409381144863607,1.9744159815204603",66,True,0.11012649536132812,"-0.4696194243078864,4.169002535896856,0.6778792200168233",54
13,0.0,0.0,0.0,0.0,1.0,0.0,-3.141592653589793,-0.5,True,0.19765019416809082,"9.09501137034145,-15.867996398184356,5.321109556039285,2.176672116756535",67,True,0.11537933349609375,"0.2814042055438189,-3.9598206510572056,0.7759449521763174",55
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,0.004389762878417969,"0.0,0.0,0.0,1.0",1,True,0.002440214157104492,"0.0,0.0,0.0",1
15,0.0,0.0,0.0,0.0,1.0,0.0,0.5235987755982987,0.0,True,0.06873059272766113,"-11.520873503645683,39.185802856319626,-27.17657991977631,1.0305773578937631",39,True,0.03702878952026367,"-0.4352253126281864,1.7678839338394063,0.03011913246399237",39
16,0.0,0.0,0.0,0.0,1.0,0.0,1.0471975511965974,0.0,True,0.08825373649597168,"-18.759608737831844,58.55745149756599,-37.16188787537501,1.1284047056322257",46,True,0.05149984359741211,"-0.7493901970740365,3.2049631245019095,0.1207996991978638",46
17,0.0,0.0,0.0,0.0,1.0,0.0,1.5707963267948966,0.0,True,0.1371142864227295,"-19.910293506446337,54.32773058504442,-29.969382068911827,1.3027728833847296",49,True,0.09251928329467773,"-0.8556397428121479,4.053045376799911,0.26447436002567076",49
18,0.0,0.0,0.0,0.0,1.0,0.0,2.094395102393195,0.0,True,0.16413497924804688,"-16.766576524348945,38.71406614460083,-17.897832227294224,1.5638499913809265",56,True,0.0973811149597168,"-0.7565958381551375,4.317565405575833,0.446037719492813",52
19,0.0,0.0,0.0,0.0,1.0,0.0,2.617993877991494,0.0,True,0.18367767333984375,"-12.352287209945864,24.071994470824496,-9.246101552032924,1.900159390708746",64,True,0.11113142967224121,"-0.5190943703859495,4.188718640080389,0.6399278429386511",54
20,0.0,0.0,0.0,0.0,1.0,0.0,-3.141592653589793,0.0,True,0.16998767852783203,"8.588737729248997,-14.547917263917965,4.7382733267042765,2.2722351643394316",69,True,0.11391687393188477,"0.2216731253742648,-3.905803152908537,0.8189411081545064",56
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,True,0.06628084182739258,"1.4750533361053204,-5.899114336873728,4.915002961075429,1.0001916894503986",39,True,0.01752495765686035,"0.016014863372755202,-0.16017038020017002,0.00012174851265880926",19
